"","tmax","metodo","rep","GAP","time"
"1","50","p","1","0.138326005244335","0.124801158905029"
"2","50","p","2","0.162298930823173","0.108000993728638"
"3","50","p","3","0.161118327733358","0.100006103515625"
"4","50","p","4","0.18537196314064","0.102600812911987"
"5","50","p","5","0.216580520007105","0.119803905487061"
"6","50","p","6","0.176577741968702","0.105005979537964"
"7","50","p","7","0.152731554160884","0.100001811981201"
"8","50","p","8","0.17121880394272","0.117002010345459"
"9","50","p","9","0.184634730578269","0.118403196334839"
"10","50","p","10","0.165836879329172","0.101001977920532"
"11","50","p","11","0.154788690398706","0.115205049514771"
"12","50","p","12","0.167984019840789","0.10600209236145"
"13","50","p","13","0.186681078976909","0.103004932403564"
"14","50","p","14","0.175398086579309","0.109804153442383"
"15","50","p","15","0.192071350343887","0.111402988433838"
"16","50","p","16","0.139839016428647","0.101402044296265"
"17","50","p","17","0.127002376906945","0.104001998901367"
"18","50","p","18","0.17793350237842","0.098006010055542"
"19","50","p","19","0.149391183346505","0.1044020652771"
"20","50","p","20","0.159551697749886","0.0980019569396973"
"21","50","p","21","0.162262190183117","0.108402013778687"
"22","50","p","22","0.163701434330133","0.114201068878174"
"23","50","p","23","0.14541085734486","0.101006031036377"
"24","50","p","24","0.126410547702268","0.10300612449646"
"25","50","p","25","0.149660136773201","0.0972039699554443"
"26","50","p","26","0.148345232374307","0.10720419883728"
"27","50","p","27","0.149993958091044","0.10640287399292"
"28","50","p","28","0.1424834960158","0.100402116775513"
"29","50","p","29","0.169467578250742","0.113803863525391"
"30","50","p","30","0.146919572063785","0.100000858306885"
"31","100","p","1","0.148878705987499","0.101402997970581"
"32","100","p","2","0.170614981631827","0.0956001281738281"
"33","100","p","3","0.180154397669851","0.1044020652771"
"34","100","p","4","0.10412260759302","0.120404005050659"
"35","100","p","5","0.131868855321631","0.097599983215332"
"36","100","p","6","0.186660505479953","0.0990018844604492"
"37","100","p","7","0.142320229187633","0.117200136184692"
"38","100","p","8","0.0959797129673662","0.101001977920532"
"39","100","p","9","0.162422182569769","0.106605052947998"
"40","100","p","10","0.178661514096248","0.0990009307861328"
"41","100","p","11","0.171901561875648","0.0968029499053955"
"42","100","p","12","0.147717752979592","0.114201068878174"
"43","100","p","13","0.168388333137063","0.110403060913086"
"44","100","p","14","0.149596111365525","0.131404161453247"
"45","100","p","15","0.149923177895306","0.132200956344604"
"46","100","p","16","0.190808674043009","0.0968029499053955"
"47","100","p","17","0.159616285978671","0.100605010986328"
"48","100","p","18","0.182794741335153","0.0988028049468994"
"49","100","p","19","0.169962390610742","0.10820484161377"
"50","100","p","20","0.171739736052123","0.100001096725464"
"51","100","p","21","0.158314937472022","0.0990021228790283"
"52","100","p","22","0.113326959263336","0.103401899337769"
"53","100","p","23","0.162831545986143","0.100001096725464"
"54","100","p","24","0.18972766470879","0.0906050205230713"
"55","100","p","25","0.15143490075125","0.111200094223022"
"56","100","p","26","0.177140875500245","0.0952038764953613"
"57","100","p","27","0.161724262296653","0.113002061843872"
"58","100","p","28","0.146082731508449","0.105002164840698"
"59","100","p","29","0.115591405255468","0.106005907058716"
"60","100","p","30","0.141099738090859","0.101600170135498"
"61","200","p","1","0.164146344133567","0.0868020057678223"
"62","200","p","2","0.152545986419468","0.114001989364624"
"63","200","p","3","0.14751829632171","0.0964019298553467"
"64","200","p","4","0.155342000529938","0.104203939437866"
"65","200","p","5","0.143924237577789","0.113601922988892"
"66","200","p","6","0.119734010401145","0.0902030467987061"
"67","200","p","7","0.188407747901592","0.117002964019775"
"68","200","p","8","0.153296490471978","0.102401971817017"
"69","200","p","9","0.146690772248454","0.101006031036377"
"70","200","p","10","0.147159621507611","0.089000940322876"
"71","200","p","11","0.139411956984193","0.111403226852417"
"72","200","p","12","0.183573422485366","0.095599889755249"
"73","200","p","13","0.133029246866798","0.111402988433838"
"74","200","p","14","0.15533008283848","0.102204084396362"
"75","200","p","15","0.161419325911219","0.115001916885376"
"76","200","p","16","0.189141200830115","0.101605176925659"
"77","200","p","17","0.171170544123221","0.111199855804443"
"78","200","p","18","0.134647092396265","0.101001977920532"
"79","200","p","19","0.166755888979689","0.101803064346313"
"80","200","p","20","0.177621113866357","0.093599796295166"
"81","200","p","21","0.183285302457688","0.104804039001465"
"82","200","p","22","0.176388609087147","0.117200136184692"
"83","200","p","23","0.136183322816658","0.0928030014038086"
"84","200","p","24","0.129531542320453","0.118205070495605"
"85","200","p","25","0.193254982669113","0.100203990936279"
"86","200","p","26","0.16503878355971","0.131003141403198"
"87","200","p","27","0.210662548687542","0.124403953552246"
"88","200","p","28","0.176795595062246","0.119402885437012"
"89","200","p","29","0.157128039381028","0.104802846908569"
