"","n","k","Largos","distri"
"1",40,12,55,1
"2",40,12,41,1
"3",40,12,14,1
"4",40,12,3,1
"5",40,12,27,1
"6",40,12,14,1
"7",40,12,37,1
"8",40,12,10,1
"9",40,12,23,1
"10",40,12,15,1
"11",40,12,17,1
"12",40,12,23,1
"13",40,12,5,1
"14",40,12,16,1
"15",40,12,11,1
"16",40,12,97,1
"17",40,12,6,1
"18",40,12,24,1
"19",40,12,12,1
"20",40,12,53,1
"21",40,12,20,1
"22",40,12,11,1
"23",40,12,10,1
"24",40,12,30,1
"25",40,12,56,1
"26",40,12,19,1
"27",40,12,17,1
"28",40,12,5,1
"29",40,12,27,1
"30",40,12,18,1
"31",40,12,24,1
"32",40,12,10,1
"33",40,12,6,1
"34",40,12,36,1
"35",40,12,61,1
"36",40,12,24,1
"37",40,12,21,1
"38",40,12,14,1
"39",40,12,40,1
"40",40,12,25,1
"41",40,12,13,1
"42",40,12,14,1
"43",40,12,13,1
"44",40,12,6,1
"45",40,12,30,1
"46",40,12,8,1
"47",40,12,34,1
"48",40,12,7,1
"49",40,12,15,1
"50",40,12,6,1
"51",40,12,18,1
"52",40,12,33,1
"53",40,12,6,1
"54",40,12,39,1
"55",40,12,44,1
"56",40,12,45,1
"57",40,12,14,1
"58",40,12,20,1
"59",40,12,11,1
"60",40,12,6,1
"61",40,12,89,1
"62",40,12,10,1
"63",40,12,17,1
"64",40,12,9,1
"65",40,12,10,1
"66",40,12,55,1
"67",40,12,3,1
"68",40,12,13,1
"69",40,12,13,1
"70",40,12,2,1
"71",40,12,19,1
"72",40,12,50,1
"73",40,12,22,1
"74",40,12,19,1
"75",40,12,13,1
"76",40,12,29,1
"77",40,12,6,1
"78",40,12,10,1
"79",40,12,16,1
"80",40,12,65,1
"81",40,12,6,1
"82",40,12,6,1
"83",40,12,10,1
"84",40,12,8,1
"85",40,12,12,1
"86",40,12,9,1
"87",40,12,11,1
"88",40,12,6,1
"89",40,12,17,1
"90",40,12,12,1
"91",40,12,14,1
"92",40,12,178,1
"93",40,12,5,1
"94",40,12,14,1
"95",40,12,4,1
"96",40,12,66,1
"97",40,12,8,1
"98",40,12,9,1
"99",40,12,5,1
"100",40,12,28,1
"101",40,12,2,1
"102",40,12,8,1
"103",40,12,6,1
"104",40,12,67,1
"105",40,12,14,1
"106",40,12,29,1
"107",40,12,12,1
"108",40,12,14,1
"109",40,12,9,1
"110",40,12,11,1
"111",40,12,11,1
"112",40,12,7,1
"113",40,12,15,1
"114",40,12,14,1
"115",40,12,13,1
"116",40,12,11,1
"117",40,12,17,1
"118",40,12,9,1
"119",40,12,16,1
"120",40,12,33,1
"121",40,12,24,1
"122",40,12,19,1
"123",40,12,16,1
"124",40,12,10,1
"125",40,12,15,1
"126",40,12,11,1
"127",40,12,18,1
"128",40,12,6,1
"129",40,12,13,1
"130",40,12,19,1
"131",40,12,15,1
"132",40,12,3,1
"133",40,12,14,1
"134",40,12,12,1
"135",40,12,2,1
"136",40,12,20,1
"137",40,12,10,1
"138",40,12,7,1
"139",40,12,9,1
"140",40,12,11,1
"141",40,12,6,1
"142",40,12,11,1
"143",40,12,9,1
"144",40,12,4,1
"145",40,12,16,1
"146",40,12,4,1
"147",40,12,11,1
"148",40,12,29,1
"149",40,12,20,1
"150",40,12,7,1
"151",40,12,7,1
"152",40,12,22,1
"153",40,12,38,1
"154",40,12,19,1
"155",40,12,10,1
"156",40,12,21,1
