"","n","k","Largos","NA","distri"
"1",40,12,9,2,2
"2",40,12,10,2,2
"3",40,12,15,2,2
"4",40,12,8,2,2
"5",40,12,3,2,2
"6",40,12,23,2,2
"7",40,12,91,2,2
"8",40,12,12,2,2
"9",40,12,7,2,2
"10",40,12,11,2,2
"11",40,12,106,2,2
"12",40,12,84,2,2
"13",40,12,18,2,2
"14",40,12,10,2,2
"15",40,12,11,2,2
"16",40,12,22,2,2
"17",40,12,61,2,2
"18",40,12,56,2,2
"19",40,12,7,2,2
"20",40,12,15,2,2
"21",40,12,6,2,2
"22",40,12,16,2,2
"23",40,12,20,2,2
"24",40,12,13,2,2
"25",40,12,7,2,2
"26",40,12,23,2,2
"27",40,12,11,2,2
"28",40,12,18,2,2
"29",40,12,2,2,2
"30",40,12,15,2,2
"31",40,12,19,2,2
"32",40,12,12,2,2
"33",40,12,16,2,2
"34",40,12,12,2,2
"35",40,12,5,2,2
"36",40,12,117,2,2
"37",40,12,48,2,2
"38",40,12,18,2,2
"39",40,12,7,2,2
"40",40,12,53,2,2
"41",40,12,7,2,2
"42",40,12,6,2,2
"43",40,12,9,2,2
"44",40,12,9,2,2
"45",40,12,50,2,2
"46",40,12,13,2,2
"47",40,12,15,2,2
"48",40,12,49,2,2
"49",40,12,42,2,2
"50",40,12,5,2,2
"51",40,12,10,2,2
"52",40,12,47,2,2
"53",40,12,5,2,2
"54",40,12,4,2,2
"55",40,12,18,2,2
"56",40,12,13,2,2
"57",40,12,17,2,2
"58",40,12,67,2,2
"59",40,12,11,2,2
"60",40,12,93,2,2
"61",40,12,4,2,2
"62",40,12,30,2,2
"63",40,12,10,2,2
"64",40,12,18,2,2
"65",40,12,6,2,2
"66",40,12,16,2,2
"67",40,12,7,2,2
"68",40,12,5,2,2
"69",40,12,78,2,2
"70",40,12,10,2,2
"71",40,12,48,2,2
"72",40,12,11,2,2
"73",40,12,31,2,2
"74",40,12,11,2,2
"75",40,12,51,2,2
"76",40,12,21,2,2
"77",40,12,14,2,2
"78",40,12,28,2,2
"79",40,12,14,2,2
"80",40,12,24,2,2
"81",40,12,8,2,2
"82",40,12,6,2,2
"83",40,12,34,2,2
"84",40,12,56,2,2
"85",40,12,16,2,2
"86",40,12,4,2,2
"87",40,12,18,2,2
"88",40,12,8,2,2
"89",40,12,25,2,2
"90",40,12,11,2,2
"91",40,12,54,2,2
"92",40,12,11,2,2
"93",40,12,11,2,2
"94",40,12,7,2,2
"95",40,12,50,2,2
"96",40,12,13,2,2
"97",40,12,16,2,2
"98",40,12,53,2,2
"99",40,12,26,2,2
"100",40,12,9,2,2
"101",40,12,12,2,2
"102",40,12,4,2,2
"103",40,12,17,2,2
"104",40,12,2,2,2
"105",40,12,28,2,2
"106",40,12,4,2,2
"107",40,12,16,2,2
"108",40,12,17,2,2
"109",40,12,50,2,2
"110",40,12,2,2,2
"111",40,12,8,2,2
"112",40,12,38,2,2
"113",40,12,6,2,2
"114",40,12,5,2,2
"115",40,12,17,2,2
"116",40,12,16,2,2
"117",40,12,8,2,2
"118",40,12,45,2,2
"119",40,12,11,2,2
"120",40,12,7,2,2
"121",40,12,4,2,2
"122",40,12,5,2,2
"123",40,12,24,2,2
"124",40,12,9,2,2
"125",40,12,4,2,2
"126",40,12,93,2,2
"127",40,12,9,2,2
"128",40,12,49,2,2
"129",40,12,30,2,2
"130",40,12,5,2,2
"131",40,12,17,2,2
"132",40,12,6,2,2
"133",40,12,37,2,2
"134",40,12,19,2,2
"135",40,12,14,2,2
"136",40,12,11,2,2
"137",40,12,28,2,2
"138",40,12,64,2,2
"139",40,12,80,2,2
"140",40,12,17,2,2
"141",40,12,16,2,2
"142",40,12,9,2,2
"143",40,12,52,2,2
"144",40,12,4,2,2
"145",40,12,10,2,2
"146",40,12,41,2,2
"147",40,12,10,2,2
"148",40,12,13,2,2
"149",40,12,21,2,2
"150",40,12,12,2,2
"151",40,12,10,2,2
"152",40,12,44,2,2
"153",40,12,29,2,2
"154",40,12,13,2,2
"155",40,12,20,2,2
"156",40,12,54,2,2
"157",40,12,6,2,2
"158",40,12,21,2,2
"159",40,12,11,2,2
"160",40,12,11,2,2
"161",40,12,19,2,2
"162",40,12,34,2,2
"163",40,12,9,2,2
"164",40,12,16,2,2
"165",40,12,44,2,2
"166",40,12,20,2,2
